model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30-FT-E-M,2,False,8.0,0.0,0.9800000190734863,0.0,0.0
B30-FT-E-M,2,False,8.0,0.1,0.9800000190734863,25.0,0.8
B30-FT-E-M,2,False,8.0,0.2,0.968000054359436,60.0,1.6
B30-FT-E-M,2,False,8.0,0.3,0.9520000219345093,55.55555555555556,2.0
B30-FT-E-M,2,False,8.0,0.325,0.9000000357627869,47.368421052631575,2.0
B30-FT-E-M,2,False,8.0,0.35,0.7320000529289246,38.0,1.6
B30-FT-E-M,2,False,8.0,0.375,0.5040000081062317,39.247311827956985,0.4
B30-FT-E-M,2,False,8.0,0.4,0.23600001633167267,22.033898305084744,0.0
B30-FT-E-M,2,False,8.0,0.45,0.04400000348687172,6.425702811244979,0.0
B30-FT-E-M,2,False,9.0,0.0,0.9800000190734863,0.0,0.4
B30-FT-E-M,2,False,9.0,0.1,0.9800000190734863,0.0,1.2
B30-FT-E-M,2,False,9.0,0.2,0.9640000462532043,36.36363636363637,1.6
B30-FT-E-M,2,False,9.0,0.3,0.940000057220459,54.54545454545454,2.4
B30-FT-E-M,2,False,9.0,0.325,0.8840000629425049,50.0,2.8000000000000003
B30-FT-E-M,2,False,9.0,0.35,0.7480000257492065,47.0,2.8000000000000003
B30-FT-E-M,2,False,9.0,0.375,0.5200000405311584,40.932642487046635,0.4
B30-FT-E-M,2,False,9.0,0.4,0.3160000145435333,29.74137931034483,0.0
B30-FT-E-M,2,False,9.0,0.45,0.06800000369548798,7.6,0.0
B30-FT-E-M,2,False,10.0,0.0,0.9800000190734863,0.0,0.8
B30-FT-E-M,2,False,10.0,0.1,0.9760000705718994,33.33333333333333,1.2
B30-FT-E-M,2,False,10.0,0.2,0.968000054359436,44.44444444444444,2.0
B30-FT-E-M,2,False,10.0,0.3,0.9480000734329224,50.0,2.4
B30-FT-E-M,2,False,10.0,0.325,0.8960000276565552,43.24324324324324,2.8000000000000003
B30-FT-E-M,2,False,10.0,0.35,0.7360000610351562,40.42553191489361,2.8000000000000003
B30-FT-E-M,2,False,10.0,0.375,0.5520000457763672,45.36082474226804,0.0
B30-FT-E-M,2,False,10.0,0.4,0.2800000011920929,27.42616033755274,0.0
B30-FT-E-M,2,False,10.0,0.45,0.06800000369548798,10.4,0.0
B30-FT-E-M,2,False,11.0,0.0,0.9760000705718994,0.0,2.0
B30-FT-E-M,2,False,11.0,0.1,0.9800000190734863,33.33333333333333,2.0
B30-FT-E-M,2,False,11.0,0.2,0.968000054359436,40.0,2.0
B30-FT-E-M,2,False,11.0,0.3,0.9480000734329224,57.89473684210527,2.8000000000000003
B30-FT-E-M,2,False,11.0,0.325,0.9000000357627869,47.22222222222222,2.8000000000000003
B30-FT-E-M,2,False,11.0,0.35,0.7480000257492065,37.755102040816325,1.6
B30-FT-E-M,2,False,11.0,0.375,0.5640000104904175,46.73913043478261,0.0
B30-FT-E-M,2,False,11.0,0.4,0.35600000619888306,37.17948717948718,0.0
B30-FT-E-M,2,False,11.0,0.45,0.06800000369548798,9.6,0.0
B30-FT-E-M,2,False,12.0,0.0,0.9760000705718994,0.0,2.0
B30-FT-E-M,2,False,12.0,0.1,0.9760000705718994,33.33333333333333,2.8000000000000003
B30-FT-E-M,2,False,12.0,0.2,0.9760000705718994,54.54545454545454,2.4
B30-FT-E-M,2,False,12.0,0.3,0.940000057220459,42.10526315789473,2.8000000000000003
B30-FT-E-M,2,False,12.0,0.325,0.8880000710487366,41.02564102564102,4.3999999999999995
B30-FT-E-M,2,False,12.0,0.35,0.7600000500679016,44.680851063829785,2.8000000000000003
B30-FT-E-M,2,False,12.0,0.375,0.5800000429153442,48.333333333333336,0.4
B30-FT-E-M,2,False,12.0,0.4,0.36000001430511475,35.8974358974359,0.0
B30-FT-E-M,2,False,12.0,0.45,0.10400000214576721,13.600000000000001,0.0
B30-FT-E-M,2,False,13.0,0.0,0.9720000624656677,0.0,2.4
B30-FT-E-M,2,False,13.0,0.1,0.9720000624656677,0.0,2.8000000000000003
B30-FT-E-M,2,False,13.0,0.2,0.9600000381469727,40.0,2.8000000000000003
B30-FT-E-M,2,False,13.0,0.3,0.956000030040741,50.0,2.8000000000000003
B30-FT-E-M,2,False,13.0,0.325,0.9040000438690186,45.94594594594595,2.8000000000000003
B30-FT-E-M,2,False,13.0,0.35,0.7520000338554382,45.0,2.8000000000000003
B30-FT-E-M,2,False,13.0,0.375,0.5760000348091125,47.540983606557376,0.0
B30-FT-E-M,2,False,13.0,0.4,0.3880000114440918,40.08620689655172,0.0
B30-FT-E-M,2,False,13.0,0.45,0.10400000214576721,14.859437751004014,0.0
B30-FT-E-M,3,False,0.0,0.0,0.9960000514984131,0.0,0.0
B30-FT-E-M,3,False,0.0,0.1,0.9920000433921814,0.0,0.0
B30-FT-E-M,3,False,0.0,0.2,0.9640000462532043,0.0,0.0
B30-FT-E-M,3,False,0.0,0.3,0.9280000329017639,0.0,0.0
B30-FT-E-M,3,False,0.0,0.325,0.8360000252723694,0.0,0.0
B30-FT-E-M,3,False,0.0,0.35,0.6080000400543213,0.0,0.0
B30-FT-E-M,3,False,0.0,0.375,0.2600000202655792,0.0,0.0
B30-FT-E-M,3,False,0.0,0.4,0.06000000238418579,0.0,0.0
B30-FT-E-M,3,False,0.0,0.45,0.0,0.0,0.0
B30-FT-E-M,3,False,3.0,0.0,0.9960000514984131,0.0,0.0
B30-FT-E-M,3,False,3.0,0.1,0.984000027179718,0.0,0.4
B30-FT-E-M,3,False,3.0,0.2,0.9720000624656677,37.5,0.0
B30-FT-E-M,3,False,3.0,0.3,0.9360000491142273,42.857142857142854,0.4
B30-FT-E-M,3,False,3.0,0.325,0.8680000305175781,16.216216216216218,0.8
B30-FT-E-M,3,False,3.0,0.35,0.6880000233650208,25.49019607843137,1.2
B30-FT-E-M,3,False,3.0,0.375,0.3960000276565552,27.604166666666668,0.0
B30-FT-E-M,3,False,3.0,0.4,0.14800000190734863,12.017167381974248,0.0
B30-FT-E-M,3,False,3.0,0.45,0.020000001415610313,1.6064257028112447,0.0
B30-FT-E-M,3,False,4.0,0.0,0.9880000352859497,0.0,0.0
B30-FT-E-M,3,False,4.0,0.1,0.984000027179718,33.33333333333333,0.4
B30-FT-E-M,3,False,4.0,0.2,0.968000054359436,41.66666666666667,0.8
B30-FT-E-M,3,False,4.0,0.3,0.9280000329017639,47.61904761904761,0.8
B30-FT-E-M,3,False,4.0,0.325,0.9080000519752502,27.027027027027028,1.2
B30-FT-E-M,3,False,4.0,0.35,0.6960000395774841,26.53061224489796,0.8
B30-FT-E-M,3,False,4.0,0.375,0.40800002217292786,25.806451612903224,0.0
B30-FT-E-M,3,False,4.0,0.4,0.18400001525878906,13.852813852813853,0.0
B30-FT-E-M,3,False,4.0,0.45,0.01600000075995922,2.4,0.0
B30-FT-E-M,3,False,5.0,0.0,0.9800000190734863,0.0,0.0
B30-FT-E-M,3,False,5.0,0.1,0.9800000190734863,33.33333333333333,0.8
B30-FT-E-M,3,False,5.0,0.2,0.9720000624656677,25.0,0.8
B30-FT-E-M,3,False,5.0,0.3,0.9440000653266907,40.0,2.0
B30-FT-E-M,3,False,5.0,0.325,0.8920000195503235,33.33333333333333,1.2
B30-FT-E-M,3,False,5.0,0.35,0.7280000448226929,33.33333333333333,0.8
B30-FT-E-M,3,False,5.0,0.375,0.48000001907348633,35.294117647058826,0.4
B30-FT-E-M,3,False,5.0,0.4,0.2240000069141388,18.487394957983195,0.0
B30-FT-E-M,3,False,5.0,0.45,0.020000001415610313,2.8000000000000003,0.0
B30-FT-E-M,3,False,6.0,0.0,0.9800000190734863,0.0,0.0
B30-FT-E-M,3,False,6.0,0.1,0.9800000190734863,33.33333333333333,0.8
B30-FT-E-M,3,False,6.0,0.2,0.968000054359436,45.45454545454545,1.2
B30-FT-E-M,3,False,6.0,0.3,0.9440000653266907,52.94117647058824,2.4
B30-FT-E-M,3,False,6.0,0.325,0.9000000357627869,59.523809523809526,2.8000000000000003
B30-FT-E-M,3,False,6.0,0.35,0.7000000476837158,40.5940594059406,2.0
B30-FT-E-M,3,False,6.0,0.375,0.5320000052452087,43.523316062176164,0.0
