model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches
B30,3,False,50.0,0.075,0.08800000697374344,10.83743842364532
B30,3,False,50.0,0.1,0.04400000348687172,5.531914893617021
B30,3,False,50.0,0.125,0.020000001415610313,2.459016393442623
B30,2,True,0.0,0.0,0.9920000433921814,0.0
B30,2,True,0.0,0.025,0.5600000023841858,0.0
B30,2,True,0.0,0.05,0.1080000028014183,0.0
B30,2,True,0.0,0.075,0.00800000037997961,0.0
B30,2,True,0.0,0.1,0.0,0.0
B30,2,True,0.0,0.125,0.0,0.0
B30,2,True,10.0,0.0,0.9880000352859497,0.0
B30,2,True,10.0,0.025,0.6520000100135803,23.157894736842106
B30,2,True,10.0,0.05,0.1680000126361847,6.829268292682928
B30,2,True,10.0,0.075,0.01600000075995922,0.8264462809917356
B30,2,True,10.0,0.1,0.0,0.4032258064516129
B30,2,True,10.0,0.125,0.0,0.0
B30,2,True,15.0,0.0,0.9760000705718994,0.0
